condition,n_det,ece_before,ece_after,ece_drop_pct,mce_before,mce_after,brier_before,brier_after
fog,92,0.1202,0.0961,20.0,0.4957,0.636,0.1062,0.1018
其他(undefined),81547,0.0876,0.0768,12.3,0.268,0.2533,0.1194,0.1168
clean_day,47614,0.0842,0.0775,8.0,0.2564,0.2368,0.1195,0.1169
night,87766,0.0831,0.0869,-4.6,0.2774,0.2801,0.1306,0.1303
dawn_dusk,15819,0.0824,0.0817,0.9,0.2663,0.2544,0.1221,0.1203
snow,22265,0.0812,0.0658,19.0,0.2449,0.2163,0.1191,0.1168
rain,21151,0.0784,0.0694,11.4,0.2423,0.2325,0.118,0.1163
