image,n_gt_person,best_conf,missed
c08b49d7-6d6c4ad7.jpg,6,0.157,6
c7648772-cbd18adf.jpg,5,0.213,5
bb769d08-290df018.jpg,5,0.193,5
bf1787f3-3073f6c0.jpg,4,0.179,4
b21c68e6-65674a17.jpg,4,0.164,4
c2c78435-e0e98f96.jpg,4,0.283,4
b9fb5382-a15fb1a6.jpg,3,0.106,3
b6ea0cd9-b9cec75f.jpg,3,0.298,3
b7f1241e-05749fee.jpg,3,0.179,3
bf245ae0-7630688e.jpg,3,0.222,3
c49c8353-71549f83.jpg,3,0.279,3
b388f9b2-a91718d0.jpg,3,0.256,3
