condition,map,map50,p,r,rel_drop
clean_day,0.3022,0.5248,0.7137,0.484,0.0
night,0.2231,0.4187,0.6201,0.4035,-26.2
rain,0.275,0.4922,0.6947,0.4532,-9.0
snow,0.2542,0.4689,0.6019,0.4619,-15.9
dawn_dusk,0.3149,0.5564,0.6744,0.4935,4.2
fog,0.2563,0.5833,0.7399,0.5076,-15.2
low_light_s2,0.2681,0.4747,0.6443,0.4461,-11.3
motion_blur_s2,0.2217,0.3965,0.6719,0.3625,-26.6
gauss_noise_s2,0.1986,0.356,0.6188,0.3345,-34.3
fog_s2,0.2946,0.5146,0.7019,0.4739,-2.5
rain_s2,0.2186,0.3892,0.6284,0.362,-27.7
downscale_s2,0.2807,0.4855,0.6965,0.454,-7.1
jpeg_s2,0.2942,0.5114,0.6755,0.4879,-2.6
