condition,map,map50,p,r,rel_drop
clean_day,0.2961,0.5125,0.7009,0.4731,0.0
night,0.2546,0.4724,0.6843,0.4418,-14.0
rain,0.2943,0.5243,0.7314,0.4789,-0.6
snow,0.2621,0.4834,0.6795,0.4401,-11.5
dawn_dusk,0.3178,0.5544,0.7162,0.4817,7.3
fog,0.2627,0.4764,0.6362,0.3763,-11.3
low_light_s2,0.2728,0.4735,0.6903,0.4335,-7.9
motion_blur_s2,0.2372,0.4257,0.667,0.3995,-19.9
gauss_noise_s2,0.2502,0.4335,0.6797,0.4043,-15.5
fog_s2,0.2884,0.4984,0.664,0.4802,-2.6
rain_s2,0.256,0.4469,0.687,0.4011,-13.5
downscale_s2,0.278,0.4815,0.686,0.4507,-6.1
jpeg_s2,0.2887,0.4997,0.7289,0.4488,-2.5
