condition,n_det,ece_before,ece_after,ece_drop_pct,mce_before,mce_after,brier_before,brier_after
fog,101,0.1323,0.1063,19.7,0.4844,0.4999,0.0957,0.0884
clean_day,48984,0.0839,0.071,15.4,0.2545,0.2189,0.1154,0.112
未命名,84192,0.0831,0.0698,16.1,0.2506,0.2179,0.1164,0.113
dawn_dusk,16699,0.0778,0.0682,12.4,0.2505,0.2456,0.1151,0.1124
snow,23984,0.0721,0.0516,28.5,0.2277,0.2104,0.1131,0.11
rain,23092,0.0678,0.0511,24.7,0.2117,0.1955,0.1098,0.1073
night,103313,0.0656,0.0525,20.0,0.2145,0.1871,0.1155,0.1139
