condition,n_det,ece_before,ece_after,ece_drop_pct,mce_before,mce_after,brier_before,brier_after
fog,119,0.1062,0.0739,30.4,0.3706,0.4699,0.1074,0.1027
其他(undefined),83941,0.084,0.069,17.8,0.2574,0.2203,0.1156,0.1121
clean_day,48045,0.0833,0.072,13.6,0.2517,0.2302,0.1162,0.1128
dawn_dusk,16606,0.0781,0.0697,10.7,0.2393,0.2191,0.1156,0.1131
snow,24337,0.0712,0.052,27.0,0.2438,0.2077,0.1122,0.1093
rain,23576,0.0698,0.0496,28.9,0.2099,0.1953,0.1086,0.1062
night,104376,0.0647,0.0533,17.6,0.214,0.1882,0.1145,0.1131
